1	Sucrose	U-Component
1	high	B-Component
1	fructose	I-Component
1	corn	I-Component
1	syrup	L-Component
1	and	O
1	fructose	U-Component
1	their	O
1	metabolism	O
1	and	O
1	potential	O
1	health	B-Human_Health
1	effects	L-Human_Health
1	What	O
1	do	O
1	we	O
1	really	O
1	know	O
2	Both	O
2	controversy	O
2	and	O
2	confusion	O
2	exist	O
2	concerning	O
2	fructose	U-Component
2	sucrose	U-Component
2	and	O
2	high	B-Component
2	fructose	I-Component
2	corn	I-Component
2	syrup	I-Component
2	HFCS	L-Component
2	with	O
2	respect	O
2	to	O
2	their	O
2	metabolism	O
2	and	O
2	health	B-Human_Health
2	effects	L-Human_Health
3	These	O
3	concerns	O
3	have	O
3	often	O
3	been	O
3	fueled	O
3	by	O
3	speculation	O
3	based	O
3	on	O
3	limited	O
3	data	O
3	or	O
3	animal	O
3	studies	O
4	In	O
4	retrospect	O
4	recent	O
4	controversies	O
4	arose	O
4	when	O
4	a	O
4	scientific	O
4	commentary	O
4	was	O
4	published	O
4	suggesting	O
4	a	O
4	possible	O
4	unique	O
4	link	O
4	between	O
4	HFCS	U-Component
4	consumption	O
4	and	O
4	obesity	U-Human_Health
5	Since	O
5	then	O
5	a	O
5	broad	O
5	scientific	O
5	consensus	O
5	has	O
5	emerged	O
5	that	O
5	there	O
5	are	O
5	no	O
5	metabolic	O
5	or	O
5	endocrine	O
5	response	O
5	differences	O
5	between	O
5	HFCS	U-Component
5	and	O
5	sucrose	U-Component
5	related	O
5	to	O
5	obesity	U-Human_Health
5	or	O
5	any	O
5	other	O
5	adverse	B-Human_Health
5	health	L-Human_Health
5	outcome	O
6	This	O
6	equivalence	O
6	is	O
6	not	O
6	surprising	O
6	given	O
6	that	O
6	both	O
6	of	O
6	these	O
6	sugars	O
6	contain	O
6	approximately	O
6	equal	O
6	amounts	O
6	of	O
6	fructose	U-Component
6	and	O
6	glucose	U-Component
6	contain	O
6	the	O
6	same	O
6	number	O
6	of	O
6	calories	O
6	possess	O
6	the	O
6	same	O
6	level	O
6	of	O
6	sweetness	O
6	and	O
6	are	O
6	absorbed	O
6	identically	O
6	through	O
6	the	O
6	gastrointestinal	O
6	tract	O
7	Research	O
7	comparing	O
7	pure	O
7	fructose	U-Component
7	with	O
7	pure	O
7	glucose	U-Component
7	although	O
7	interesting	O
7	from	O
7	a	O
7	scientific	O
7	point	O
7	of	O
7	view	O
7	has	O
7	limited	O
7	application	O
7	to	O
7	human	O
7	nutrition	O
7	given	O
7	that	O
7	neither	O
7	is	O
7	consumed	O
7	to	O
7	an	O
7	appreciable	O
7	degree	O
7	in	O
7	isolation	O
7	in	O
7	the	O
7	human	O
7	diet	O
8	Whether	O
8	there	O
8	is	O
8	a	O
8	link	O
8	between	O
8	fructose	U-Component
8	HFCS	U-Component
8	or	O
8	sucrose	U-Component
8	and	O
8	increased	O
8	risk	O
8	of	O
8	heart	B-Human_Health
8	disease	L-Human_Health
8	metabolic	B-Human_Health
8	syndrome	L-Human_Health
8	or	O
8	fatty	B-Human_Health
8	infiltration	I-Human_Health
8	of	I-Human_Health
8	the	I-Human_Health
8	liver	I-Human_Health
8	or	I-Human_Health
8	muscle	L-Human_Health
8	remains	O
8	in	O
8	dispute	O
8	with	O
8	different	O
8	studies	O
8	using	O
8	different	O
8	methodologies	O
8	arriving	O
8	at	O
8	different	O
8	conclusions	O
9	Further	O
9	randomized	O
9	clinical	O
9	trials	O
9	are	O
9	needed	O
9	to	O
9	resolve	O
9	many	O
9	of	O
9	these	O
9	issues	O
10	The	O
10	purpose	O
10	of	O
10	this	O
10	review	O
10	is	O
10	to	O
10	summarize	O
10	current	O
10	knowledge	O
10	about	O
10	the	O
10	metabolism	O
10	endocrine	O
10	responses	O
10	and	O
10	potential	O
10	health	B-Human_Health
10	effects	L-Human_Health
10	of	O
10	sucrose	U-Component
10	HFCS	U-Component
10	and	O
10	fructose	U-Component
11	Â	O
11	2013	O
11	American	O
11	Society	O
11	for	O
11	Nutrition	O
12	Anti	O
12	allergic	O
12	activity	O
12	of	O
12	mung	B-Product
12	bean	L-Product
12	Vigna	O
12	radiata	O
12	L	O
13	Wilczek	O
13	protein	O
13	hydrolysates	O
13	produced	O
13	by	O
13	enzymatic	O
13	hydrolysis	O
13	using	O
13	non	O
13	gastrointestinal	O
13	and	O
13	gastrointestinal	O
13	enzymes	O
14	Mung	B-Product
14	bean	I-Product
14	seed	L-Product
14	is	O
14	a	O
14	well	O
14	known	O
14	plant	O
14	protein	O
14	consumed	O
14	in	O
